Title,Authors,URL,DOI,Published Date,Relevance,Summary,Themes
Uncertainty-Aware Deep Calibrated Salient Object Detection,"Jing Zhang, Yuchao Dai, Xin Yu, Mehrtash Harandi, Nick Barnes, R. Hartley",https://www.semanticscholar.org/paper/d63c0cdfc661bb91a1ab8bb716e55b685d07a00c,,2020,High,"Existing deep neural network based salient object detection (SOD) methods mainly focus on pursuing high network accuracy. However, those methods overlook the gap between network accuracy and prediction confidence, known as the confidence uncalibration problem. Thus, state-of-the-art SOD networks are prone to be overconfident. In other words, the predicted confidence of the networks does not reflect the real probability of correctness of salient object detection, which significantly hinder their real-world applicability. In this paper, we introduce an uncertaintyaware deep SOD network, and propose two strategies from different perspectives to prevent deep SOD networks from being overconfident. The first strategy, namely Boundary Distribution Smoothing (BDS), generates continuous labels by smoothing the original binary ground-truth with respect to pixel-wise uncertainty. The second strategy, namely Uncertainty-Aware Temperature Scaling (UATS), exploits a relaxed Sigmoid function during both training and testing with spatially-variant temperature scaling to produce softened output. Both strategies can be incorporated into existing deep SOD networks with minimal efforts. Moreover, we propose a new saliency evaluation metric, namely dense calibration measure C, to measure how the model is calibrated on a given dataset. Extensive experimental results on seven benchmark datasets demonstrate that our solutions can not only better calibrate SOD models, but also improve the network accuracy.",uncertainty; calibration; confidence
Data and Model Uncertainty Aware Salient Object Detection,"H. Lee, Seunghyun Lee, B. Song",https://ieeexplore.ieee.org/ielx7/6287639/6514899/10414785.pdf,10.1109/ACCESS.2024.3358825,2024,High,"In general, salient object detection (SOD) datasets have ambiguity due to annotation accuracy and human subjectivity in determining saliency. Since this data uncertainty causes inaccurate prediction, many techniques tackling data uncertainty have been proposed so far. Previous works estimated data uncertainty in terms of predictive inaccuracy and adjusted the learning contribution so that a given model can focus more on specific data. However, inaccurate predictions can occur due to not only data uncertainty but also model uncertainty in which the model does not fully explain the data. As a result, a region that is inaccurately predicted due to model uncertainty is considered a region with high data uncertainty, resulting in insufficient learning. To solve this problem, we propose a novel uncertainty-aware learning scheme where model uncertainty is decomposed from prediction uncertainty and it is minimized. Also, we propose a refinement method to further improve performance by correcting the prediction result using data uncertainty in the inference step. The proposed uncertainty-aware method excludes data uncertainty from learning step and inference step more effectively, making the model more accurately detect salient object(s). The experimental results prove that the proposed method achieves state-of-the-art performance on several SOD datasets and qualitatively detects salient objects more accurately than the prior arts. The code will be uploaded on Github.",data uncertainty; model uncertainty
UDNet: Uncertainty-aware deep network for salient object detection,"Yuming Fang, Haiyan Zhang, Jiebin Yan, Wenhui Jiang, Yang Liu",https://www.semanticscholar.org/paper/5261de2a691f423c8175745ca5e7cae82aa44852,10.1016/j.patcog.2022.109099,2022,High,"• We propose an uncertainty-aware SOD model with a high-level contrast feature extraction module and three decoding branches. • We design a feature interaction module to enhance the feature interaction among internal contour uncertainty features, saliency features and external contour uncertainty features. • Extensive experiments on four public benchmark datasets and the challenging SOC dataset demonstrate the superiority of the proposed model. Most of the existing deep learning based salient object detection (SOD) models adopt multi-level feature fusion strategies, and have achieved remarkable progress. However, current SOD models still suffer from the uncertainty dilemma in predicting salient probabilities of the pixels surrounding the contour of salient objects. To solve this issue, we propose a novel uncertainty-aware SOD model, where multiple supervision signals, i.e ., internal contour uncertainty map, saliency map and external contour uncertainty map, are used to guide the network to not only focus on the pixels in the salient object but also shift its partial attention to the pixels surrounding the contour of salient objects. Furthermore, we introduce a new feature interaction module to aggregate internal contour uncertainty features, saliency features and external contour uncertainty features in the decoding stage, aiming to enhance the model’s ability in dealing with the “uncertain” pixels. Extensive experiments on four public benchmark datasets demonstrate the superiority of the proposed method over the existing state-of-the-art SOD methods. Furthermore, the proposed method shows better attribute-based performance on the SOC dataset, suggesting that the proposed model can also handle challenging scenarios in SOD.",uncertainty; decoder; contour branches
Uncertainty Inspired RGB-D Saliency Detection,"Jing Zhang, Deng-Ping Fan, Yuchao Dai, Saeed Anwar, F. Saleh, Sadegh Aliakbarian, Nick Barnes",http://arxiv.org/pdf/2009.03075,10.1109/TPAMI.2021.3073564,2020,High,"We propose the first stochastic framework to employ uncertainty for RGB-D saliency detection by learning from the data labeling process. Existing RGB-D saliency detection models treat this task as a point estimation problem by predicting a single saliency map following a deterministic learning pipeline. We argue that, however, the deterministic solution is relatively ill-posed. Inspired by the saliency data labeling process, we propose a generative architecture to achieve probabilistic RGB-D saliency detection which utilizes a latent variable to model the labeling variations. Our framework includes two main models: 1) a generator model, which maps the input image and latent variable to stochastic saliency prediction, and 2) an inference model, which gradually updates the latent variable by sampling it from the true or approximate posterior distribution. The generator model is an encoder-decoder saliency network. To infer the latent variable, we introduce two different solutions: i) a Conditional Variational Auto-encoder with an extra encoder to approximate the posterior distribution of the latent variable; and ii) an Alternating Back-Propagation technique, which directly samples the latent variable from the true posterior distribution. Qualitative and quantitative results on six challenging RGB-D benchmark datasets show our approach's superior performance in learning the distribution of saliency maps. The source code is publicly available via our project page: https://github.com/JingZhang617/UCNet.",uncertainty; RGB-D; probabilistic prediction
UC-Net: Uncertainty Inspired RGB-D Saliency Detection via Conditional Variational Autoencoders,"Jing Zhang, Deng-Ping Fan, Yuchao Dai, Saeed Anwar, F. Saleh, Tong Zhang, Nick Barnes",https://openresearch-repository.anu.edu.au/bitstreams/a5041b14-7373-4499-a5f1-3be4fd7e28f0/download,10.1109/cvpr42600.2020.00861,2020,High,"In this paper, we propose the first framework (UCNet) to employ uncertainty for RGB-D saliency detection by learning from the data labeling process. Existing RGB-D saliency detection methods treat the saliency detection task as a point estimation problem, and produce a single saliency map following a deterministic learning pipeline. Inspired by the saliency data labeling process, we propose probabilistic RGB-D saliency detection network via conditional variational autoencoders to model human annotation uncertainty and generate multiple saliency maps for each input image by sampling in the latent space. With the proposed saliency consensus process, we are able to generate an accurate saliency map based on these multiple predictions. Quantitative and qualitative evaluations on six challenging benchmark datasets against 18 competing algorithms demonstrate the effectiveness of our approach in learning the distribution of saliency maps, leading to a new state-of-the-art in RGB-D saliency detection.",uncertainty; RGB-D; conditional VAE
Learning Uncertain Convolutional Features for Accurate Saliency Detection,"Pingping Zhang, D. Wang, Huchuan Lu, Hongyu Wang, Baocai Yin",https://arxiv.org/pdf/1708.02031,10.1109/ICCV.2017.32,2017,High,"Deep convolutional neural networks (CNNs) have delivered superior performance in many computer vision tasks. In this paper, we propose a novel deep fully convolutional network model for accurate salient object detection. The key contribution of this work is to learn deep uncertain convolutional features (UCF), which encourage the robustness and accuracy of saliency detection. We achieve this via introducing a reformulated dropout (R-dropout) after specific convolutional layers to construct an uncertain ensemble of internal feature units. In addition, we propose an effective hybrid upsampling method to reduce the checkerboard artifacts of deconvolution operators in our decoder network. The proposed methods can also be applied to other deep convolutional networks. Compared with existing saliency detection methods, the proposed UCF model is able to incorporate uncertainties for more accurate object boundary inference. Extensive experiments demonstrate that our proposed saliency model performs favorably against state-ofthe-art approaches. The uncertain feature learning mechanism as well as the upsampling method can significantly improve performance on other pixel-wise vision tasks.",uncertain features; saliency representation
Uncertainty-Guided Refinement for Fine-Grained Salient Object Detection,"Yao Yuan, Pan Gao, Qun Dai, Jie Qin, Wei Xiang",https://arxiv.org/pdf/2504.09666,10.1109/TIP.2025.3557562,2025,High,"Recently, salient object detection (SOD) methods have achieved impressive performance. However, salient regions predicted by existing methods usually contain unsaturated regions and shadows, which limits the model for reliable fine-grained predictions. To address this, we introduce the uncertainty guidance learning approach to SOD, intended to enhance the model’s perception of uncertain regions. Specifically, we design a novel Uncertainty Guided Refinement Attention Network (UGRAN), which incorporates three important components, i.e., the Multilevel Interaction Attention (MIA) module, the Scale Spatial-Consistent Attention (SSCA) module, and the Uncertainty Refinement Attention (URA) module. Unlike conventional methods dedicated to enhancing features, the proposed MIA facilitates the interaction and perception of multilevel features, leveraging the complementary characteristics among multilevel features. Then, through the proposed SSCA, the salient information across diverse scales within the aggregated features can be integrated more comprehensively and integrally. In the subsequent steps, we utilize the uncertainty map generated from the saliency prediction map to enhance the model’s perception capability of uncertain regions, generating a highly-saturated fine-grained saliency prediction map. Additionally, we devise an adaptive dynamic partition (ADP) mechanism to minimize the computational overhead of the URA module and improve the utilization of uncertainty guidance. Experiments on seven benchmark datasets demonstrate the superiority of the proposed UGRAN over the state-of-the-art methodologies. Codes will be released at https://github.com/I2-Multimedia-Lab/UGRAN",uncertainty-guided refinement; decoder refinement
Graph-Based Uncertainty Modeling and Multimodal Fusion for Salient Object Detection,"Yuqi Xiong, Wuzhen Shi, Yang Wen, Ruhan Liu",https://arxiv.org/pdf/2508.20415,10.48550/arXiv.2508.20415,2025,High,"In view of the problems that existing salient object detection (SOD) methods are prone to losing details, blurring edges, and insufficient fusion of single-modal information in complex scenes, this paper proposes a dynamic uncertainty propagation and multimodal collaborative reasoning network (DUP-MCRNet). Firstly, a dynamic uncertainty graph convolution module (DUGC) is designed to propagate uncertainty between layers through a sparse graph constructed based on spatial semantic distance, and combined with channel adaptive interaction, it effectively improves the detection accuracy of small structures and edge regions. Secondly, a multimodal collaborative fusion strategy (MCF) is proposed, which uses learnable modality gating weights to weightedly fuse the attention maps of RGB, depth, and edge features. It can dynamically adjust the importance of each modality according to different scenes, effectively suppress redundant or interfering information, and strengthen the semantic complementarity and consistency between cross-modalities, thereby improving the ability to identify salient regions under occlusion, weak texture or background interference. Finally, the detection performance at the pixel level and region level is optimized through multi-scale BCE and IoU loss, cross-scale consistency constraints, and uncertainty-guided supervision mechanisms. Extensive experiments show that DUP-MCRNet outperforms various SOD methods on most common benchmark datasets, especially in terms of edge clarity and robustness to complex backgrounds. Our code is publicly available at https://github.com/YukiBear426/DUP-MCRNet.",uncertainty modeling; multimodal fusion; propagation
Joint Salient Object Detection and Camouflaged Object Detection via Uncertainty-aware Learning,"Aixuan Li, Jing Zhang, Yun-Qiu Lv, Tong Zhang, Yiran Zhong, Mingyi He, Yuchao Dai",https://arxiv.org/pdf/2307.04651,10.48550/arXiv.2307.04651,2023,High,"Salient objects attract human attention and usually stand out clearly from their surroundings. In contrast, camouflaged objects share similar colors or textures with the environment. In this case, salient objects are typically non-camouflaged, and camouflaged objects are usually not salient. Due to this inherent contradictory attribute, we introduce an uncertainty-aware learning pipeline to extensively explore the contradictory information of salient object detection (SOD) and camouflaged object detection (COD) via data-level and task-wise contradiction modeling. We first exploit the dataset correlation of these two tasks and claim that the easy samples in the COD dataset can serve as hard samples for SOD to improve the robustness of the SOD model. Based on the assumption that these two models should lead to activation maps highlighting different regions of the same input image, we further introduce a contrastive module with a joint-task contrastive learning framework to explicitly model the contradictory attributes of these two tasks. Different from conventional intra-task contrastive learning for unsupervised representation learning, our contrastive module is designed to model the task-wise correlation, leading to cross-task representation learning. To better understand the two tasks from the perspective of uncertainty, we extensively investigate the uncertainty estimation techniques for modeling the main uncertainties of the two tasks, namely task uncertainty (for SOD) and data uncertainty (for COD), and aiming to effectively estimate the challenging regions for each task to achieve difficulty-aware learning. Experimental results on benchmark datasets demonstrate that our solution leads to both state-of-the-art performance and informative uncertainty estimation.",uncertainty-aware learning; joint tasks
Uncertainty-aware Joint Salient Object and Camouflaged Object Detection,"Aixuan Li, Jing Zhang, Yun-Qiu Lv, Bowen Liu, Tong Zhang, Yuchao Dai",http://infoscience.epfl.ch/record/291625,10.1109/CVPR46437.2021.00994,2021,High,"Visual salient object detection (SOD) aims at finding the salient object(s) that attract human attention, while camouflaged object detection (COD) on the contrary intends to discover the camouflaged object(s) that hidden in the surrounding. In this paper, we propose a paradigm of lever-aging the contradictory information to enhance the detection ability of both salient object detection and camouflaged object detection. We start by exploiting the easy positive samples in the COD dataset to serve as hard positive samples in the SOD task to improve the robustness of the SOD model. Then, we introduce a ""similarity measure"" module to explicitly model the contradicting attributes of these two tasks. Furthermore, considering the uncertainty of labeling in both tasks’ datasets, we propose an adversarial learning network to achieve both higher order similarity measure and network confidence estimation. Experimental results on benchmark datasets demonstrate that our solution leads to state-of-the-art (SOTA) performance for both tasks1.",uncertainty-aware learning; joint SOD/COD
