scale,expert_id,hard_count,hard_fraction,soft_mass,soft_fraction
moe_4,0,5464192,0.23251089453697205,2738549.01810804,0.23306006758136236
moe_4,1,1049050,0.04463890567421913,521276.5454233885,0.04436245110152748
moe_4,2,1286235,0.05473154038190842,642121.8594583571,0.054646808573185345
moe_4,3,1557210,0.06626199930906296,775163.5572518408,0.06596912081732033
moe_4,4,447429,0.019038883969187737,222043.5238931179,0.01889667789123076
moe_4,5,5228095,0.22246456146240234,2611453.6663725376,0.22224381011476524
moe_4,6,7204876,0.3065800368785858,3613761.023243487,0.30754366006633704
moe_4,7,1263713,0.0537731908261776,626030.8490962386,0.05327740750070113
moe_8,0,60385,0.010277948342263699,30002.38406163454,0.010213229868475811
moe_8,1,397982,0.06773930788040161,197576.22393986583,0.06725770150458396
moe_8,2,187892,0.03198052942752838,93467.37374565005,0.031817597271803534
moe_8,3,182630,0.031084898859262466,91007.75542277098,0.03098030889936376
moe_8,4,954837,0.1625199168920517,477334.57043612003,0.16249134342188182
moe_8,5,37350,0.006357230246067047,18501.75505888462,0.006298255398585451
moe_8,6,2245820,0.3822542130947113,1125141.6573952436,0.3830139084270301
moe_8,7,1808304,0.3077859580516815,904568.2911707759,0.30792765903144603
moe_16,0,115249,0.07846473157405853,56410.271579027176,0.07681137197579953
moe_16,1,118508,0.08068355172872543,58342.446379095316,0.07944232894756988
moe_16,2,156156,0.10631535947322845,77033.39506325126,0.10489296713405673
moe_16,3,160656,0.10937908291816711,81105.82993766665,0.11043822159268335
moe_16,4,81249,0.055316586047410965,41332.08334374428,0.05628006991250582
moe_16,5,385598,0.26252588629722595,196623.99579641223,0.26773419906918877
moe_16,6,178552,0.12156318128108978,88662.47927969694,0.12072777679697295
moe_16,7,272832,0.18575163185596466,134889.50066772103,0.18367306735800795
