scale,expert_id,hard_count,hard_fraction,soft_mass,soft_fraction
moe_4,0,5145092,0.2189326286315918,2580020.643581778,0.21956875030482179
moe_4,1,1036370,0.0440993495285511,513686.1056229174,0.043716478215457974
moe_4,2,703233,0.02992378920316696,350439.1861858964,0.029823596318925005
moe_4,3,1803231,0.0767306238412857,894520.6093955934,0.0761268220141947
moe_4,4,478567,0.020363859832286835,237060.3622264266,0.020174663179672744
moe_4,5,5631104,0.23961329460144043,2818769.3886969984,0.23988710075376143
moe_4,6,7646734,0.3253818452358246,3833448.3486683667,0.3262398172545928
moe_4,7,1056469,0.04495459794998169,522455.3891209066,0.04446277480944535
moe_8,0,53255,0.00906437262892723,26355.6703055799,0.00897183765848989
moe_8,1,243743,0.04148675873875618,120810.13678470254,0.04112545506015201
moe_8,2,159879,0.02721252106130123,79302.77811196446,0.02699577141610991
moe_8,3,747408,0.12721405923366547,372496.96975824237,0.1268031623632361
moe_8,4,831245,0.14148369431495667,417341.2723225653,0.1420687882361674
moe_8,5,32673,0.005561172496527433,16036.533182024956,0.0054590594982383426
moe_8,6,1709795,0.2910190224647522,854888.4674557745,0.29101595433543526
moe_8,7,2097202,0.35695838928222656,1050368.1820251346,0.35755997481792434
moe_16,0,0,0.0,0.0,0.0
moe_16,1,0,0.0,0.0,0.0
moe_16,2,0,0.0,0.0,0.0
moe_16,3,0,0.0,0.0,0.0
moe_16,4,0,0.0,0.0,0.0
moe_16,5,0,0.0,0.0,0.0
moe_16,6,0,0.0,0.0,0.0
moe_16,7,0,0.0,0.0,0.0
